date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-038,Agrim Agadez,SS-038digi,Agrim Agadez,1,0.000377010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-038,Agrim Agadez,SS-038digi,Agrim Agadez,1,0.000273720000000000,Anghami,,,Libya,track,digital
2020-07-01,sdphysical,SS-038,Agrim Agadez,SS-038lp,,1,1.680000000000000000,All Day Records,,,US,album,physical
2020-07-01,sds,SS-038,Agrim Agadez,SS-038digi,Iban Mano D'Ikhya,1,0.000435530000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-038,Agrim Agadez,SS-038digi,Agrim Agadez,1,0.005062120000000000,Spotify,,,Australia,track,digital
2020-07-01,sdphysical,SS-038,Agrim Agadez,SS-038lp,,1,1.680000000000000000,All Day Records,,,US,album,physical
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.250000000000000000,,Altadena,CA,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.600000000000000000,,Seattle,WA,US,album,digital
2020-07-03,shopify,SS-045,No. 1,SS-045lp,,1,13.720000000000000000,,San Francisco,California,United States,album,physical
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Lincoln,Lincolnshire,GB,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.056250000000000000,,Red Bluff,CA,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038lp,,1,3.946000000000000000,,Holland,MI,US,album,physical
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,1.000000000000000000,,Tottenham,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.056250000000000000,,Portland,OR,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.290625000000000000,,London,England,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.408125000000000000,,Nipawin,SK,CA,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,5.000000000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.625000000000000000,,Oxford,Oxfordshire,GB,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,5.000000000000000000,,Leicester,Leicester,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.114375000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.187500000000000000,,Camden,Camden,GB,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045lp,,1,16.250000000000000000,,Shorewood,WI,US,album,physical
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.125000000000000000,,Limerick,Limerick,IE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.055625000000000000,,Bremen,Bremen,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.187500000000000000,,Los Angeles,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Tottenham,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Stroudsburg,PA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,1.000000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,1.000000000000000000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,3.000000000000000000,,Decatur,GA,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Decatur,GA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Trenton,NJ,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.400000000000000000,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.830000000000000000,,Widnes,Halton,GB,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,2.000000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-045,No. 1,SS-045digi,,1,1.000000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.400000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.600000000000000000,,Wellington,Wellington,NZ,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.178000000000000000,,Sao Teotonio,Beja,PT,album,digital
