date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-01-01,shopify,SS-055,Tiris,SS-055lp,,1,13.950000000000000000,,Bronx,New York,United States,album,physical
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,11,0.035386000000000000,Spotify,,,CH,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,5,0.002905870000000000,Spotify,,,CL,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,2,0.003260030000000000,Spotify,,,CO,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.003691040000000000,Spotify,,,CY,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.001651840000000000,Spotify,,,CZ,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,68,0.222720970000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055dig1,Long Live the Sahrawi Army,1,0.000018630000000000,UMA,,,RU,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055dig2,The People of Laayoune,3,0.000055900000000000,UMA,,,RU,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055dig2,The People of Laayoune,2,0.000037270000000000,UMA,,,BY,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.005401670000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.012833110000000000,TIDAL Music AS,,,GB,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.010388520000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.011177420000000000,TIDAL Music AS,,,BE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.012896060000000000,TIDAL Music AS,,,GB,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055dig2,The People of Laayoune,1,9.90000000000E-7,Spotify,,,NZ,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055dig2,The People of Laayoune,1,0.000592870000000000,Spotify,,,GB,track,digital
2020-01-06,sdphysical,SS-055,Tiris,SS-055lp,,5,50.000000000000000000,Newbury Comics,,,US,album,physical
2020-01-06,sdphysical,SS-055,Tiris,SS-055lp,,1,10.000000000000000000,Waterloo Records,,,US,album,physical
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.001866450000000000,Spotify,,,EG,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.000067680000000000,Spotify,,,EE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2,0.009709300000000000,Spotify,,,DK,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,42,0.132517430000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.000124540000000000,Spotify,,,CZ,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.001762340000000000,Spotify,,,CO,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,9,0.010916730000000000,Spotify,,,CL,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,5,0.013255940000000000,Spotify,,,CH,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.001866450000000000,Spotify,,,EG,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,2,0.000135360000000000,Spotify,,,EE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,7,0.029612720000000000,Spotify,,,DK,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,10,0.003892730000000000,Spotify,,,AR,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.004939270000000000,Spotify,,,AT,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,63,0.221487050000000000,Spotify,,,AU,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,26,0.066282820000000000,Spotify,,,BE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,27,0.050258640000000000,Spotify,,,BR,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,34,0.081560810000000000,Spotify,,,CA,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,9,0.001696430000000000,Spotify,,,AR,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2,0.004493950000000000,Spotify,,,AT,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,44,0.159343970000000000,Spotify,,,AU,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,34,0.092335510000000000,Spotify,,,BE,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,39,0.127310460000000000,Spotify,,,CA,track,digital
2020-01-06,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,7,0.013048610000000000,Spotify,,,BR,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,8,0.022696100000000000,Spotify,,,IT,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,14,0.023645650000000000,SoundCloud,,,IE,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,3,0.002604770000000000,SoundCloud,,,IT,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2,0.003836300000000000,SoundCloud,,,NL,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.000636680000000000,SoundCloud,,,PT,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,12,0.130850780000000000,SoundCloud,,,US,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,50,0.075429270000000000,SoundCloud,,,US,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,118,0.537635640000000000,Spotify,,,GB,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.007137460000000000,Spotify,,,GR,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.001957690000000000,Spotify,,,HK,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.002871520000000000,Spotify,,,HU,track,digital
2020-01-07,sdphysical,SS-055,Tiris,SS-055cd,,1,7.200000000000000000,Sonic Boom - Market St.,,,US,album,physical
2020-01-07,sdphysical,SS-055,Tiris,SS-055lp,,1,10.000000000000000000,Bull City Records,,,US,album,physical
2020-01-07,sdphysical,SS-055,Tiris,SS-055lp,,3,30.000000000000000000,Sonic Boom - Market St.,,,US,album,physical
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.014082840000000000,SoundCloud,,,AU,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,3,0.003183310000000000,SoundCloud,,,AU,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2,0.047527110000000000,SoundCloud,,,AU,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2,0.001736490000000000,SoundCloud,,,BE,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.008859050000000000,SoundCloud,,,CA,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,39,0.042869160000000000,SoundCloud,,,CA,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,13,0.021581740000000000,SoundCloud,,,DE,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2,0.041718630000000000,SoundCloud,,,DE,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,5,0.004341130000000000,SoundCloud,,,ES,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,5,0.083970870000000000,SoundCloud,,,FR,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,13,0.019870890000000000,SoundCloud,,,FR,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,57,0.077046080000000000,SoundCloud,,,GB,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.001551910000000000,Spotify,,,ID,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,11,0.015163210000000000,Spotify,,,ES,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,7,0.029185350000000000,Spotify,,,FI,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,42,0.132060520000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,136,0.693985510000000000,Spotify,,,GB,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,5,0.004125990000000000,Spotify,,,HU,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.000040600000000000,Spotify,,,ID,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,4,0.018238470000000000,Spotify,,,IE,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,4,0.015590680000000000,Spotify,,,IL,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.040525560000000000,SoundCloud,,,GB,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,21,0.069633980000000000,Spotify,,,JP,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,2,0.006912380000000000,Spotify,,,LT,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.002242020000000000,Spotify,,,MX,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,49,0.289774410000000000,Spotify,,,IE,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,9,0.000206370000000000,Spotify,,,IS,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,4,0.009531150000000000,Spotify,,,IT,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,4,0.011393290000000000,Spotify,,,JP,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.002171080000000000,Spotify,,,MX,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,34,0.135817960000000000,Spotify,,,ES,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,5,0.010654000000000000,Spotify,,,FI,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,37,0.119590850000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,3,0.059697610000000000,SoundCloud,,,GB,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,6,0.015652320000000000,Spotify,,,PT,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.000870690000000000,Spotify,,,PH,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,2,0.000132040000000000,Spotify,,,VN,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,526,1.945715160000000000,Spotify,,,US,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,8,0.009117360000000000,Spotify,,,TR,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.000569330000000000,Spotify,,,TN,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.003891160000000000,Spotify,,,SG,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,29,0.092193950000000000,Spotify,,,NL,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,17,0.032823830000000000,Spotify,,,UY,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,391,1.328986180000000000,Spotify,,,US,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,8,0.032193500000000000,Spotify,,,SE,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,4,0.004265390000000000,Spotify,,,TR,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.002172580000000000,Spotify,,,TH,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,14,0.053694180000000000,Spotify,,,SE,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,3,0.005988790000000000,Spotify,,,ZA,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.004134120000000000,Spotify,,,NZ,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,12,0.062281070000000000,Spotify,,,NO,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,10,0.026186310000000000,Spotify,,,NL,track,digital
2020-01-08,bandcamp,SS-055,Tiris,SS-055digi,,1,5.750000000000000000,,Lublewo,Pomerania,PL,album,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,8,0.008597600000000000,Spotify,,,PT,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.000079890000000000,Spotify,,,PL,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.002755830000000000,Spotify,,,PE,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,9,0.032648410000000000,Spotify,,,NZ,track,digital
2020-01-08,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,15,0.061259630000000000,Spotify,,,NO,track,digital
2020-01-09,sdphysical,SS-055,Tiris,SS-055lp,,1,10.000000000000000000,Mills Record Company,,,US,album,physical
2020-01-10,sdphysical,SS-055,Tiris,SS-055cd,,1,7.200000000000000000,Landlocked Music,,,US,album,physical
2020-01-10,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.107928840000000000,SoundCloud,,,ZZ,track,digital
2020-01-10,sdphysical,SS-055,Tiris,SS-055lp,,2,20.000000000000000000,Landlocked Music,,,US,album,physical
2020-01-13,sdphysical,SS-055,Tiris,SS-055lp,,1,10.000000000000000000,Wuxtry,,,US,album,physical
2020-01-14,sdphysical,SS-055,Tiris,SS-055lp,,1,10.000000000000000000,Going Underground Records - LA,,,US,album,physical
2020-01-15,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,1,0.000032990000000000,UMA,,,ZZ,track,digital
2020-01-15,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.000178160000000000,UMA,,,ZZ,track,digital
2020-01-15,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Brooklyn,NY,US,album,digital
2020-01-15,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Cincinnati,OH,US,album,digital
2020-01-15,sdphysical,SS-055,Tiris,SS-055lp,,3,30.000000000000000000,Stranded Music - SF,,,US,album,physical
2020-01-15,bandcamp,SS-055,Tiris,SS-055lp,,1,11.520000000000000000,,Draper,UT,US,album,physical
2020-01-15,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1,0.032760020000000000,Xandrie SA,,,FR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,The People of Laayoune,14,0.006259280000000000,Youtube,,,AE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,13,0.000502350000000000,Youtube,,,US,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,1,0.000083730000000000,Youtube,,,SN,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,4,0.000101310000000000,Youtube,,,SA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,8,0.000192570000000000,Youtube,,,QA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,9,0.003110380000000000,Youtube,,,NL,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,5,0.000739290000000000,Youtube,,,MX,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,1065,0.002539380000000000,Youtube,,,MA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,86,0.000806270000000000,Youtube,,,IT,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,65,0.005664000000000000,Youtube,,,GB,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,132,0.017028830000000000,Youtube,,,FR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,501,0.040804220000000000,Youtube,,,ES,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,252,0.000336570000000000,Youtube,,,DZ,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,15,0.000298900000000000,Youtube,,,DE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,6,0.000066140000000000,Youtube,,,BR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,15,0.008550830000000000,Youtube,,,BE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,657,0.167859420000000000,Youtube,,,FR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,2,0.000502350000000000,Youtube,,,US,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,14,0.000225220000000000,Youtube,,,SN,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,13,0.000493140000000000,Youtube,,,SK,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,14,0.001561470000000000,Youtube,,,SG,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,117,0.008352410000000000,Youtube,,,SE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,413,0.000128100000000000,Youtube,,,SA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,112,0.002001860000000000,Youtube,,,RU,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,48,0.000113870000000000,Youtube,,,RS,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,29,0.000396860000000000,Youtube,,,RO,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,10 of May,4,0.000105490000000000,Youtube,,,CO,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,1,0.000083730000000000,Youtube,,,SN,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,3,0.000101310000000000,Youtube,,,SA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,3,0.000192570000000000,Youtube,,,QA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,7,0.003110380000000000,Youtube,,,NL,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,5,0.000739290000000000,Youtube,,,MX,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,514,0.002539380000000000,Youtube,,,MA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,11,0.000806270000000000,Youtube,,,IT,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,33,0.005664000000000000,Youtube,,,GB,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,48,0.017028830000000000,Youtube,,,FR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,277,0.040804220000000000,Youtube,,,ES,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,108,0.000336570000000000,Youtube,,,DZ,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,11,0.000298900000000000,Youtube,,,DE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,2,0.000105490000000000,Youtube,,,CO,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,6,0.000066140000000000,Youtube,,,BR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Dreams and Nostalgia,5,0.008550830000000000,Youtube,,,BE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,24,0.000391000000000000,Youtube,,,VN,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,11,0.000024280000000000,Youtube,,,UY,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,2720,0.387979140000000000,Youtube,,,US,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,35,0.000340760000000000,Youtube,,,UA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,52,0.000393510000000000,Youtube,,,TR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,9,0.000118050000000000,Youtube,,,TH,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,34,0.000192570000000000,Youtube,,,QA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,70,0.003908280000000000,Youtube,,,PT,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,116,0.000461320000000000,Youtube,,,PL,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,28,0.000352480000000000,Youtube,,,PH,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,12,0.000042700000000000,Youtube,,,PE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,56,0.003747530000000000,Youtube,,,NZ,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,63,0.013128920000000000,Youtube,,,NO,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,194,0.037473640000000000,Youtube,,,NL,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,74,0.002476590000000000,Youtube,,,MX,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,6,0.000059440000000000,Youtube,,,MT,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,3004,0.018813840000000000,Youtube,,,MA,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,23,0.001579050000000000,Youtube,,,LV,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,38,0.000130610000000000,Youtube,,,LT,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,7,0.000027630000000000,Youtube,,,LB,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,16,0.001935720000000000,Youtube,,,KR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,172,0.006799310000000000,Youtube,,,IT,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,18,0.000220200000000000,Youtube,,,IS,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,55,0.000072000000000000,Youtube,,,IN,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,35,0.000256200000000000,Youtube,,,IL,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,41,0.001656080000000000,Youtube,,,IE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,44,0.000571840000000000,Youtube,,,ID,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,33,0.000012560000000000,Youtube,,,HU,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,12,0.000116380000000000,Youtube,,,HR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,9,0.000462160000000000,Youtube,,,HK,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,12,0.000415280000000000,Youtube,,,GR,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,10,0.000003350000000000,Youtube,,,GE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,689,0.073338910000000000,Youtube,,,GB,track,digital
2020-01-16,sdphysical,SS-055,Tiris,SS-055lp,,4,37.600000000000000000,All Media Supply,,,US,album,physical
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,54,0.003478770000000000,Youtube,,,FI,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,599,0.070719160000000000,Youtube,,,ES,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,111,0.000162430000000000,Youtube,,,EG,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,16,0.000051070000000000,Youtube,,,EE,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,1318,0.000956140000000000,Youtube,,,DZ,track,digital
2020-01-16,sddigital,SS-055,Tiris,SS-055digi,Long Live the Sahrawi Army,49,0.002079730000000000,Youtube,,,DK,track,digital
